gene_short_name	num_cells_expressed
RP11-5N11.5	RP11-5N11.5	0
RP11-5N11.6	RP11-5N11.6	0
CTD-2152M20.2	CTD-2152M20.2	0
GOLPH3	GOLPH3	7
CTD-2186M15.3	CTD-2186M15.3	9
MTMR12	MTMR12	5
ZFR	ZFR	24
SUB1	SUB1	141
CTD-2004A9.1	CTD-2004A9.1	0
NPR3	NPR3	0
AC026703.1	AC026703.1	0
CTD-2066L21.3	CTD-2066L21.3	0
CTD-2218G20.2	CTD-2218G20.2	0
CTD-2066L21.1	CTD-2066L21.1	0
CTD-2066L21.2	CTD-2066L21.2	0
RP11-113I22.1	RP11-113I22.1	0
CTD-2203K17.1	CTD-2203K17.1	0
TARS	TARS	10
CTD-2233C11.2	CTD-2233C11.2	0
ADAMTS12	ADAMTS12	0
RXFP3	RXFP3	0
SLC45A2	SLC45A2	0
AMACR	AMACR	1
RP11-1084J3.4	RP11-1084J3.4	0
C1QTNF3	C1QTNF3	1
RP11-1250I15.3	RP11-1250I15.3	0
CTD-2024P10.2	CTD-2024P10.2	0
RAI14	RAI14	0
CTD-2024P10.1	CTD-2024P10.1	0
CTD-2517O10.6	CTD-2517O10.6	1
TTC23L	TTC23L	0
RAD1	RAD1	7
BRIX1	BRIX1	40
DNAJC21	DNAJC21	9
AGXT2	AGXT2	0
PRLR	PRLR	0
AC010368.2	AC010368.2	0
SPEF2	SPEF2	6
CTD-2113L7.1	CTD-2113L7.1	0
IL7R	IL7R	144
CAPSL	CAPSL	0
RP11-79C6.3	RP11-79C6.3	0
UGT3A1	UGT3A1	0
UGT3A2	UGT3A2	0
LMBRD2	LMBRD2	1
SKP2	SKP2	13
NADK2	NADK2	1
NADK2-AS1	NADK2-AS1	0
RANBP3L	RANBP3L	0
SLC1A3	SLC1A3	0
CTD-2353F22.1	CTD-2353F22.1	1
CTD-2653M23.3	CTD-2653M23.3	0
NIPBL	NIPBL	18
C5orf42	C5orf42	1
NUP155	NUP155	2
WDR70	WDR70	8
GDNF	GDNF	0
GDNF-AS1	GDNF-AS1	0
CTD-2194L12.2	CTD-2194L12.2	0
CTD-2194L12.3	CTD-2194L12.3	0
CTD-2130F23.2	CTD-2130F23.2	0
CTD-2130F23.1	CTD-2130F23.1	0
CTD-2116N24.1	CTD-2116N24.1	0
CTD-2207A17.1	CTD-2207A17.1	0
EGFLAM	EGFLAM	0
EGFLAM-AS4	EGFLAM-AS4	0
EGFLAM-AS3	EGFLAM-AS3	0
EGFLAM-AS2	EGFLAM-AS2	0
EGFLAM-AS1	EGFLAM-AS1	0
CTD-2263F21.1	CTD-2263F21.1	0
LIFR	LIFR	0
LIFR-AS1	LIFR-AS1	0
CTD-2196P11.2	CTD-2196P11.2	0
RP11-122C5.1	RP11-122C5.1	0
CTD-2127H9.1	CTD-2127H9.1	0
RP11-122C5.3	RP11-122C5.3	0
OSMR	OSMR	0
RICTOR	RICTOR	26
FYB	FYB	86
AC008964.1	AC008964.1	3
C9	C9	0
DAB2	DAB2	0
CTD-2078B5.2	CTD-2078B5.2	0
LINC00603	LINC00603	0
LINC00604	LINC00604	0
PTGER4	PTGER4	51
TTC33	TTC33	6
PRKAA1	PRKAA1	21
RPL37	RPL37	717
CARD6	CARD6	0
C7	C7	0
MROH2B	MROH2B	0
C6	C6	0
PLCXD3	PLCXD3	0
OXCT1	OXCT1	8
C5orf51	C5orf51	5
FBXO4	FBXO4	20
RP11-112L7.1	RP11-112L7.1	0
GHR	GHR	0
CCDC152	CCDC152	13
SEPP1	SEPP1	0
CTD-2325A15.5	CTD-2325A15.5	0
CTD-2201E18.5	CTD-2201E18.5	0
CTD-2035E11.3	CTD-2035E11.3	33
CTD-2035E11.4	CTD-2035E11.4	0
ANXA2R	ANXA2R	91
AC025171.1	AC025171.1	5
CTD-2035E11.5	CTD-2035E11.5	0
ZNF131	ZNF131	23
NIM1K	NIM1K	0
CTD-2636A23.2	CTD-2636A23.2	0
HMGCS1	HMGCS1	7
CCL28	CCL28	17
C5orf28	C5orf28	13
C5orf34	C5orf34	1
RP11-159F24.6	RP11-159F24.6	0
RP11-159F24.5	RP11-159F24.5	0
PAIP1	PAIP1	16
NNT-AS1	NNT-AS1	13
NNT	NNT	3
RP11-8L21.1	RP11-8L21.1	0
FGF10	FGF10	0
FGF10-AS1	FGF10-AS1	0
RP11-473L15.3	RP11-473L15.3	0
RP11-503D12.1	RP11-503D12.1	0
RP11-53O19.1	RP11-53O19.1	0
RP11-53O19.2	RP11-53O19.2	0
MRPS30	MRPS30	56
RP11-53O19.3	RP11-53O19.3	0
RP11-357F12.1	RP11-357F12.1	0
HCN1	HCN1	0
CTD-2013M15.1	CTD-2013M15.1	0
EMB	EMB	39
RP11-269M20.3	RP11-269M20.3	0
PARP8	PARP8	11
RP11-317O24.1	RP11-317O24.1	0
RP11-317O24.2	RP11-317O24.2	0
CTD-2089N3.1	CTD-2089N3.1	0
CTD-2089N3.2	CTD-2089N3.2	0
CTD-2089N3.3	CTD-2089N3.3	0
CTD-2314G24.2	CTD-2314G24.2	0
ISL1	ISL1	0
CTD-2335O3.3	CTD-2335O3.3	0
CTD-2203A3.1	CTD-2203A3.1	0
CTD-2288O8.1	CTD-2288O8.1	0
ITGA1	ITGA1	0
PELO	PELO	8
CTD-2175A23.1	CTD-2175A23.1	0
ITGA2	ITGA2	0
CTD-2366F13.2	CTD-2366F13.2	0
MOCS2	MOCS2	23
CTD-2366F13.1	CTD-2366F13.1	5
FST	FST	0
NDUFS4	NDUFS4	71
CTD-2081C10.1	CTD-2081C10.1	0
CTD-2081C10.7	CTD-2081C10.7	0
ARL15	ARL15	2
LINC01033	LINC01033	1
HSPB3	HSPB3	0
SNX18	SNX18	1
RP11-45H22.3	RP11-45H22.3	0
ESM1	ESM1	0
GZMK	GZMK	15
CTD-2313F11.2	CTD-2313F11.2	0
CTD-2313F11.3	CTD-2313F11.3	0
GZMA	GZMA	25
CDC20B	CDC20B	0
GPX8	GPX8	0
MCIDAS	MCIDAS	0
CCNO	CCNO	0
RP11-506H20.1	RP11-506H20.1	0
DHX29	DHX29	25
SKIV2L2	SKIV2L2	9
PPAP2A	PPAP2A	7
SLC38A9	SLC38A9	4
DDX4	DDX4	0
IL31RA	IL31RA	0
AC008914.1	AC008914.1	0
IL6ST	IL6ST	2
CTD-2031P19.5	CTD-2031P19.5	0
CTD-2031P19.3	CTD-2031P19.3	1
CTD-2227I18.1	CTD-2227I18.1	1
ANKRD55	ANKRD55	1
RP11-155L15.1	RP11-155L15.1	0
CTC-236F12.4	CTC-236F12.4	0
AC022431.2	AC022431.2	0
AC008940.1	AC008940.1	0
MAP3K1	MAP3K1	7
AC008937.2	AC008937.2	0
AC008937.3	AC008937.3	0
SETD9	SETD9	3
MIER3	MIER3	0
CTD-2310F14.1	CTD-2310F14.1	0
AC016644.1	AC016644.1	0
GPBP1	GPBP1	71
CTD-2023N9.1	CTD-2023N9.1	0
ACTBL2	ACTBL2	0
CTD-2023N9.2	CTD-2023N9.2	0
CTD-2023N9.3	CTD-2023N9.3	0
RP11-772C9.1	RP11-772C9.1	0
RP11-478P10.1	RP11-478P10.1	0
CTD-2037L6.2	CTD-2037L6.2	0
PLK2	PLK2	2
GAPT	GAPT	44
CTD-2117L12.1	CTD-2117L12.1	0
RAB3C	RAB3C	0
RP11-479O16.1	RP11-479O16.1	0
CTD-2176I21.2	CTD-2176I21.2	0
PDE4D	PDE4D	7
RP11-266N13.2	RP11-266N13.2	0
CTD-2254N19.1	CTD-2254N19.1	0
FKSG52	FKSG52	0
PART1	PART1	0
DEPDC1B	DEPDC1B	0
ELOVL7	ELOVL7	0
RP11-231G3.1	RP11-231G3.1	0
ERCC8	ERCC8	2
AC104113.3	AC104113.3	0
NDUFAF2	NDUFAF2	33
AC008498.1	AC008498.1	0
SMIM15	SMIM15	16
CTC-436P18.1	CTC-436P18.1	0
CTC-436P18.3	CTC-436P18.3	0
ZSWIM6	ZSWIM6	3
C5orf64	C5orf64	0
RP11-2O17.2	RP11-2O17.2	0
CTD-2170G1.2	CTD-2170G1.2	0
CTD-2244C20.2	CTD-2244C20.2	0
KIF2A	KIF2A	40
DIMT1	DIMT1	23
IPO11	IPO11	4
CKS1B.1	CKS1B.1	0
LRRC70	LRRC70	0
HTR1A	HTR1A	0
RNF180	RNF180	0
RGS7BP	RGS7BP	0
FAM159B	FAM159B	0
SREK1IP1	SREK1IP1	49
CWC27	CWC27	23
RP11-307L14.1	RP11-307L14.1	0
RP11-307L14.2	RP11-307L14.2	0
ADAMTS6	ADAMTS6	5
CTD-2116N20.1	CTD-2116N20.1	1
CENPK	CENPK	17
PPWD1	PPWD1	15
TRIM23	TRIM23	4
TRAPPC13	TRAPPC13	9
CTC-534A2.2	CTC-534A2.2	2
SGTB	SGTB	4
NLN	NLN	1
CTD-2033C11.1	CTD-2033C11.1	0
ERBB2IP	ERBB2IP	22
SREK1	SREK1	37
AC025442.3	AC025442.3	0
CTD-2016O11.1	CTD-2016O11.1	0
RP11-305P14.1	RP11-305P14.1	0
RP11-5P22.3	RP11-5P22.3	0
MAST4	MAST4	4
MAST4-AS1	MAST4-AS1	1
CTD-2306M10.1	CTD-2306M10.1	2
CD180	CD180	41
CTD-2187J20.1	CTD-2187J20.1	0
RP11-434D9.1	RP11-434D9.1	0
RP11-83M16.5	RP11-83M16.5	0
RP11-83M16.6	RP11-83M16.6	0
RP11-434D9.2	RP11-434D9.2	0
RP11-404L6.2	RP11-404L6.2	0
PIK3R1	PIK3R1	16
CTD-2582M21.1	CTD-2582M21.1	0
CTC-537E7.3	CTC-537E7.3	0
CTC-537E7.1	CTC-537E7.1	0
CTC-537E7.2	CTC-537E7.2	0
CTC-340D7.1	CTC-340D7.1	0
RP11-141O11.1	RP11-141O11.1	0
7SK	7SK	0
CTC-498J12.1	CTC-498J12.1	0
SLC30A5	SLC30A5	12
CTC-498J12.3	CTC-498J12.3	0
CCNB1	CCNB1	4
CENPH	CENPH	18
MRPS36	MRPS36	36
CDK7	CDK7	8
CCDC125	CCDC125	0
TAF9	TAF9	83
RAD17	RAD17	13
MARVELD2	MARVELD2	0
RP11-241G9.3	RP11-241G9.3	0
OCLN	OCLN	0
GTF2H2C	GTF2H2C	1
SERF1B	SERF1B	0
SMN2	SMN2	17
RP11-497H16.9	RP11-497H16.9	0
SERF1A	SERF1A	0
SMN1	SMN1	11
NAIP	NAIP	1
RP11-195E2.4	RP11-195E2.4	0
GTF2H2	GTF2H2	9
RP11-136K7.2	RP11-136K7.2	0
RP11-136K7.3	RP11-136K7.3	0
RP11-136K7.1	RP11-136K7.1	0
BDP1	BDP1	40
MCCC2	MCCC2	10
CARTPT	CARTPT	0
MAP1B	MAP1B	1
MRPS27	MRPS27	22
PTCD2	PTCD2	2
CTC-365E16.1	CTC-365E16.1	1
RP11-389C8.3	RP11-389C8.3	0
ZNF366	ZNF366	0
CTC-347C20.2	CTC-347C20.2	0
CTC-347C20.1	CTC-347C20.1	0
CTD-2631K10.1	CTD-2631K10.1	0
TNPO1	TNPO1	16
CTD-2376I4.1	CTD-2376I4.1	0
CTD-2376I4.2	CTD-2376I4.2	0
FCHO2	FCHO2	0
TMEM171	TMEM171	1
RP11-232L2.2	RP11-232L2.2	0
TMEM174	TMEM174	0
RP11-60A8.1	RP11-60A8.1	0
RP11-60A8.2	RP11-60A8.2	0
FOXD1	FOXD1	0
RP11-79P5.2	RP11-79P5.2	0
RP11-79P5.7	RP11-79P5.7	0
RP11-79P5.5	RP11-79P5.5	0
RP11-79P5.9	RP11-79P5.9	2
BTF3	BTF3	633
ANKRA2	ANKRA2	27
UTP15	UTP15	4
AC008387.1	AC008387.1	0
ARHGEF28	ARHGEF28	0
CTC-575I10.1	CTC-575I10.1	0
RP11-428C6.2	RP11-428C6.2	0
CTD-2292M14.1	CTD-2292M14.1	0
CTD-2275D24.4	CTD-2275D24.4	0
CTD-2275D24.1	CTD-2275D24.1	0
CTD-2275D24.2	CTD-2275D24.2	0
CTD-2275D24.3	CTD-2275D24.3	0
CTC-419K13.1	CTC-419K13.1	0
ENC1	ENC1	2
HEXB	HEXB	32
GFM2	GFM2	4
NSA2	NSA2	110
FAM169A	FAM169A	3
CTD-2377O17.1	CTD-2377O17.1	0
CTD-2503O16.4	CTD-2503O16.4	1
GCNT4	GCNT4	1
RP11-229C3.2	RP11-229C3.2	0
ANKRD31	ANKRD31	1
CTD-2235C13.2	CTD-2235C13.2	0
HMGCR	HMGCR	0
CTD-2235C13.3	CTD-2235C13.3	0
COL4A3BP	COL4A3BP	9
POLK	POLK	17
CTC-366B18.2	CTC-366B18.2	0
CTC-366B18.4	CTC-366B18.4	0
ANKDD1B	ANKDD1B	1
POC5	POC5	9
CTC-235G5.3	CTC-235G5.3	0
SV2C	SV2C	0
RP11-466P24.6	RP11-466P24.6	0
RP11-466P24.7	RP11-466P24.7	0
IQGAP2	IQGAP2	25
CTD-2236F14.1	CTD-2236F14.1	0
F2RL2	F2RL2	0
CTD-2384B11.2	CTD-2384B11.2	0
F2R	F2R	1
F2RL1	F2RL1	0
S100Z	S100Z	2
CRHBP	CRHBP	0
AGGF1	AGGF1	13
ZBED3	ZBED3	0
CTC-564N23.2	CTC-564N23.2	0
ZBED3-AS1	ZBED3-AS1	0
PDE8B	PDE8B	0
WDR41	WDR41	3
OTP	OTP	0
TBCA	TBCA	173
RP11-107N7.1	RP11-107N7.1	0
AP3B1	AP3B1	17
CTD-2037K23.2	CTD-2037K23.2	25
SCAMP1	SCAMP1	15
LHFPL2	LHFPL2	1
ARSB	ARSB	2
DMGDH	DMGDH	2
BHMT2	BHMT2	0
BHMT	BHMT	0
AC016559.1	AC016559.1	0
JMY	JMY	2
HOMER1	HOMER1	2
PAPD4	PAPD4	15
CMYA5	CMYA5	0
CTC-431G16.2	CTC-431G16.2	0
RP11-168A11.1	RP11-168A11.1	0
MTX3	MTX3	0
THBS4	THBS4	0
CTD-2201I18.1	CTD-2201I18.1	0
SERINC5	SERINC5	11
CTC-458I2.2	CTC-458I2.2	0
SPZ1	SPZ1	0
ZFYVE16	ZFYVE16	5
CTD-2015H6.3	CTD-2015H6.3	1
FAM151B	FAM151B	0
ANKRD34B	ANKRD34B	0
CTC-325J23.3	CTC-325J23.3	0
DHFR	DHFR	10
CTC-325J23.2	CTC-325J23.2	0
MTRNR2L2	MTRNR2L2	0
MSH3	MSH3	5
CTC-459I6.1	CTC-459I6.1	0
RASGRF2	RASGRF2	3
CTD-2193P3.2	CTD-2193P3.2	0
CKMT2-AS1	CKMT2-AS1	7
CKMT2	CKMT2	0
ZCCHC9	ZCCHC9	18
ACOT12	ACOT12	0
SSBP2	SSBP2	30
CTD-2249K22.1	CTD-2249K22.1	0
ATG10	ATG10	7
ATG10-AS1	ATG10-AS1	0
RPS23	RPS23	795
ATP6AP1L	ATP6AP1L	0
CTD-2015A6.1	CTD-2015A6.1	0
CTD-2015A6.2	CTD-2015A6.2	0
CTD-2218K11.2	CTD-2218K11.2	0
RP11-78C3.1	RP11-78C3.1	0
CTD-2227C6.3	CTD-2227C6.3	0
CTD-2227C6.2	CTD-2227C6.2	0
RP11-343L5.2	RP11-343L5.2	0
TMEM167A	TMEM167A	28
XRCC4	XRCC4	1
VCAN	VCAN	0
VCAN-AS1	VCAN-AS1	0
HAPLN1	HAPLN1	0
EDIL3	EDIL3	0
CTD-2269F5.1	CTD-2269F5.1	0
CTC-384G19.1	CTC-384G19.1	0
RP11-1072N2.3	RP11-1072N2.3	0
CTD-2331D11.2	CTD-2331D11.2	0
CTD-2331D11.3	CTD-2331D11.3	0
CTD-2331D11.4	CTD-2331D11.4	0
CTC-480C2.1	CTC-480C2.1	0
CTD-2036A18.2	CTD-2036A18.2	0
CTC-261N6.3	CTC-261N6.3	0
CTC-261N6.1	CTC-261N6.1	0
CTC-261N6.2	CTC-261N6.2	0
COX7C	COX7C	475
CTC-493L21.1	CTC-493L21.1	0
CTC-493L21.2	CTC-493L21.2	1
RP11-72L22.1	RP11-72L22.1	0
AC008394.1	AC008394.1	0
RASA1	RASA1	2
CTC-428H11.2	CTC-428H11.2	1
CCNH	CCNH	49
CTD-2316B1.1	CTD-2316B1.1	0
CTD-2316B1.2	CTD-2316B1.2	0
TMEM161B	TMEM161B	4
TMEM161B-AS1	TMEM161B-AS1	16
CTC-498M16.2	CTC-498M16.2	0
CTC-498M16.4	CTC-498M16.4	0
LINC00461	LINC00461	0
CTC-467M3.1	CTC-467M3.1	0
CTC-467M3.3	CTC-467M3.3	0
CTC-467M3.2	CTC-467M3.2	0
MEF2C	MEF2C	70
MEF2C-AS1	MEF2C-AS1	5
CTD-2232E5.2	CTD-2232E5.2	0
RP11-116A1.1	RP11-116A1.1	0
AC113167.1	AC113167.1	0
AC113167.2	AC113167.2	0
RP11-61G23.2	RP11-61G23.2	0
CETN3	CETN3	2
MBLAC2	MBLAC2	2
POLR3G	POLR3G	1
LYSMD3	LYSMD3	7
GPR98	GPR98	0
RP11-414H23.2	RP11-414H23.2	0
RP11-414H23.3	RP11-414H23.3	0
RP11-213H15.1	RP11-213H15.1	0
LUCAT1	LUCAT1	0
RP11-213H15.4	RP11-213H15.4	0
CTD-2061E19.6	CTD-2061E19.6	0
ARRDC3	ARRDC3	14
RP11-348J24.2	RP11-348J24.2	0
RP11-348J24.1	RP11-348J24.1	0
RP11-133F8.2	RP11-133F8.2	0
CTC-529L17.1	CTC-529L17.1	0
CTC-529L17.2	CTC-529L17.2	0
CTC-458G6.4	CTC-458G6.4	0
CTC-458G6.2	CTC-458G6.2	0
CTD-2091N23.1	CTD-2091N23.1	0
NR2F1	NR2F1	0
FAM172A	FAM172A	8
POU5F2	POU5F2	2
RP11-185E12.2	RP11-185E12.2	0
KIAA0825	KIAA0825	0
ANKRD32	ANKRD32	16
MCTP1	MCTP1	0
CTC-484P3.3	CTC-484P3.3	0
CTC-558O19.1	CTC-558O19.1	0
FAM81B	FAM81B	0
TTC37	TTC37	10
ARSK	ARSK	6
GPR150	GPR150	10
RFESD	RFESD	4
SPATA9	SPATA9	0
CTD-2154I11.2	CTD-2154I11.2	0
RHOBTB3	RHOBTB3	0
GLRX	GLRX	142
AC008592.4	AC008592.4	0
AC008592.8	AC008592.8	0
C5orf27	C5orf27	0
ELL2	ELL2	3
CTD-2337A12.1	CTD-2337A12.1	0
AC008592.7	AC008592.7	0
RP11-254I22.1	RP11-254I22.1	0
RP11-254I22.3	RP11-254I22.3	0
RP11-254I22.2	RP11-254I22.2	0
PCSK1	PCSK1	0
CAST	CAST	60
CTC-506B8.1	CTC-506B8.1	1
ERAP1	ERAP1	3
CTD-2260A17.1	CTD-2260A17.1	0
CTD-2260A17.3	CTD-2260A17.3	0
CTD-2260A17.2	CTD-2260A17.2	3
ERAP2	ERAP2	10
LNPEP	LNPEP	19
CTD-2215E18.1	CTD-2215E18.1	2
LIX1	LIX1	0
RIOK2	RIOK2	12
CTD-2215E18.2	CTD-2215E18.2	0
CTD-2215E18.3	CTD-2215E18.3	0
RP11-1E3.1	RP11-1E3.1	0
RP11-455B3.1	RP11-455B3.1	0
AC008834.1	AC008834.1	0
RGMB	RGMB	4
RGMB-AS1	RGMB-AS1	0
CHD1	CHD1	36
CTD-2007H13.3	CTD-2007H13.3	0
CTD-2151A2.1	CTD-2151A2.1	0
RP11-346J10.1	RP11-346J10.1	0
CTD-2001C12.1	CTD-2001C12.1	1
FAM174A	FAM174A	3
CTC-293G12.1	CTC-293G12.1	0
ST8SIA4	ST8SIA4	15
CTD-2333K2.1	CTD-2333K2.1	0
SLCO4C1	SLCO4C1	0
AC008948.1	AC008948.1	0
SLCO6A1	SLCO6A1	0
RP11-58B2.1	RP11-58B2.1	0
LINC00492	LINC00492	0
CTD-2340E1.2	CTD-2340E1.2	0
LINC00491	LINC00491	0
PAM	PAM	1
GIN1	GIN1	1
PPIP5K2	PPIP5K2	12
CTC-503K11.2	CTC-503K11.2	0
C5orf30	C5orf30	3
CTD-2154H6.1	CTD-2154H6.1	0
CTD-2193G5.1	CTD-2193G5.1	0
NUDT12	NUDT12	0
RP11-138J23.1	RP11-138J23.1	0
RP11-6N13.1	RP11-6N13.1	0
RP11-6N13.4	RP11-6N13.4	0
CTD-2374C24.1	CTD-2374C24.1	0
CTC-254B4.1	CTC-254B4.1	0
EFNA5	EFNA5	0
RP11-252I13.2	RP11-252I13.2	0
FBXL17	FBXL17	7
LINC01023	LINC01023	3
FER	FER	0
CTD-2197I11.1	CTD-2197I11.1	0
CTD-2587M2.1	CTD-2587M2.1	1
PJA2	PJA2	35
RP11-231G15.2	RP11-231G15.2	0
RP11-231G15.3	RP11-231G15.3	0
RP11-231G15.1	RP11-231G15.1	0
CTC-332L22.1	CTC-332L22.1	1
MAN2A1	MAN2A1	6
AC011366.3	AC011366.3	0
TMEM232	TMEM232	0
SLC25A46	SLC25A46	17
CTC-551A13.1	CTC-551A13.1	0
TSLP	TSLP	0
CTC-551A13.2	CTC-551A13.2	0
WDR36	WDR36	3
CAMK4	CAMK4	28
AC010468.2	AC010468.2	0
CTC-499J9.1	CTC-499J9.1	0
STARD4	STARD4	1
STARD4-AS1	STARD4-AS1	0
NREP	NREP	3
NREP-AS1	NREP-AS1	0
EPB41L4A	EPB41L4A	1
EPB41L4A-AS1	EPB41L4A-AS1	145
CTC-459M5.1	CTC-459M5.1	0
CTC-459M5.2	CTC-459M5.2	0
RP11-526F3.1	RP11-526F3.1	0
EPB41L4A-AS2	EPB41L4A-AS2	0
RP11-159K7.2	RP11-159K7.2	0
APC	APC	5
CTC-554D6.1	CTC-554D6.1	0
CTC-487M23.8	CTC-487M23.8	0
SRP19	SRP19	68
REEP5	REEP5	101
ZRSR1	ZRSR1	0
CTC-487M23.5	CTC-487M23.5	0
CTC-487M23.7	CTC-487M23.7	0
DCP2	DCP2	29
MCC	MCC	1
CTD-2201G3.1	CTD-2201G3.1	0
TSSK1B	TSSK1B	0
YTHDC2	YTHDC2	15
RP11-371M22.1	RP11-371M22.1	0
KCNN2	KCNN2	0
RP11-492A10.1	RP11-492A10.1	0
CTC-313D10.1	CTC-313D10.1	0
RP11-438C19.2	RP11-438C19.2	0
RP11-438C19.1	RP11-438C19.1	0
TRIM36	TRIM36	0
CTC-428G20.2	CTC-428G20.2	0
CTC-428G20.3	CTC-428G20.3	0
PGGT1B	PGGT1B	4
CTC-428G20.6	CTC-428G20.6	1
CCDC112	CCDC112	23
FEM1C	FEM1C	1
TICAM2	TICAM2	0
TMED7-TICAM2	TMED7-TICAM2	0
AC010226.4	AC010226.4	9
TMED7	TMED7	11
CTC-505O3.3	CTC-505O3.3	0
CTC-505O3.2	CTC-505O3.2	0
CDO1	CDO1	0
ATG12	ATG12	40
AP3S1	AP3S1	62
AQPEP	AQPEP	0
CTD-2287O16.3	CTD-2287O16.3	0
ARL14EPL	ARL14EPL	0
CTD-2287O16.4	CTD-2287O16.4	0
CTD-2287O16.5	CTD-2287O16.5	6
COMMD10	COMMD10	10
CTC-339F2.2	CTC-339F2.2	0
SEMA6A	SEMA6A	0
CTB-118N6.3	CTB-118N6.3	0
CTB-118N6.2	CTB-118N6.2	0
RP11-249M12.2	RP11-249M12.2	0
CTC-472C24.1	CTC-472C24.1	0
RP11-492L8.2	RP11-492L8.2	0
LINC00992	LINC00992	0
CTD-3179P9.1	CTD-3179P9.1	0
CTD-3179P9.2	CTD-3179P9.2	0
CTD-2281M20.1	CTD-2281M20.1	0
RP11-2N5.2	RP11-2N5.2	0
RP11-2N5.1	RP11-2N5.1	0
CTC-448D22.1	CTC-448D22.1	0
DTWD2	DTWD2	5
CTB-161M19.4	CTB-161M19.4	0
DMXL1	DMXL1	23
TNFAIP8	TNFAIP8	123
HSD17B4	HSD17B4	8
FAM170A	FAM170A	0
CTC-552D5.1	CTC-552D5.1	0
RP11-574H6.1	RP11-574H6.1	0
PRR16	PRR16	0
CTD-2334D19.1	CTD-2334D19.1	0
CTC-546K23.1	CTC-546K23.1	0
FTMT	FTMT	0
SRFBP1	SRFBP1	10
LOX	LOX	0
CTC-441N14.2	CTC-441N14.2	0
ZNF474	ZNF474	0
CTC-441N14.1	CTC-441N14.1	0
CTD-2544H17.2	CTD-2544H17.2	0
SNCAIP	SNCAIP	0
CTD-2544H17.1	CTD-2544H17.1	0
CTD-2280E9.1	CTD-2280E9.1	0
CTC-210G5.1	CTC-210G5.1	0
RP11-166A12.1	RP11-166A12.1	0
SNX2	SNX2	146
SNX24	SNX24	4
PPIC	PPIC	0
RP11-359P5.1	RP11-359P5.1	0
AC106786.1	AC106786.1	0
PRDM6	PRDM6	0
CEP120	CEP120	9
CSNK1G3	CSNK1G3	22
LINC01170	LINC01170	0
CTC-369A16.2	CTC-369A16.2	0
CTC-369A16.3	CTC-369A16.3	0
CTD-2308B18.4	CTD-2308B18.4	0
CTD-2308B18.1	CTD-2308B18.1	0
CTD-2308B18.2	CTD-2308B18.2	0
CTD-2308B18.3	CTD-2308B18.3	0
ZNF608	ZNF608	2
RP11-43D2.2	RP11-43D2.2	0
RP11-436H11.2	RP11-436H11.2	0
RP11-436H11.3	RP11-436H11.3	0
RP11-436H11.4	RP11-436H11.4	0
RP11-436H11.6	RP11-436H11.6	0
RP11-284A20.3	RP11-284A20.3	0
RP11-284A20.2	RP11-284A20.2	0
RP11-284A20.1	RP11-284A20.1	0
RP11-257I8.2	RP11-257I8.2	0
RP11-508M8.1	RP11-508M8.1	0
RP11-425E13.1	RP11-425E13.1	0
RP11-395P13.2	RP11-395P13.2	0
RP11-395P13.1	RP11-395P13.1	0
RP11-395P13.3	RP11-395P13.3	0
RP11-395P13.4	RP11-395P13.4	0
RP11-395P13.5	RP11-395P13.5	0
RP11-395P13.6	RP11-395P13.6	0
RP11-756H20.1	RP11-756H20.1	0
RP11-114J13.1	RP11-114J13.1	0
CTC-339D2.1	CTC-339D2.1	0
GRAMD3	GRAMD3	0
RP11-517I3.1	RP11-517I3.1	0
ALDH7A1	ALDH7A1	0
PHAX	PHAX	35
C5orf48	C5orf48	0
RP11-434D11.4	RP11-434D11.4	0
LMNB1	LMNB1	5
MARCH3	MARCH3	13
C5orf63	C5orf63	9
MEGF10	MEGF10	0
CTD-2195M15.3	CTD-2195M15.3	0
PRRC1	PRRC1	11
CTXN3	CTXN3	0
CTC-548H10.2	CTC-548H10.2	0
CTC-228N24.1	CTC-228N24.1	0
CTC-228N24.2	CTC-228N24.2	0
CTC-228N24.3	CTC-228N24.3	25
SLC12A2	SLC12A2	4
FBN2	FBN2	0
SLC27A6	SLC27A6	0
ISOC1	ISOC1	19
ADAMTS19-AS1	ADAMTS19-AS1	0
ADAMTS19	ADAMTS19	0
CTC-575N7.1	CTC-575N7.1	0
KIAA1024L	KIAA1024L	0
CHSY3	CHSY3	0
HINT1	HINT1	476
LYRM7	LYRM7	12
CDC42SE2	CDC42SE2	75
RAPGEF6	RAPGEF6	5
CTC-432M15.3	CTC-432M15.3	0
FNIP1	FNIP1	2
ACSL6	ACSL6	4
AC034228.4	AC034228.4	0
AC034228.3	AC034228.3	0
AC034228.2	AC034228.2	0
IL3	IL3	0
CSF2	CSF2	1
AC063976.3	AC063976.3	0
P4HA2-AS1	P4HA2-AS1	0
P4HA2	P4HA2	0
PDLIM4	PDLIM4	0
SLC22A4	SLC22A4	0
SLC22A5	SLC22A5	1
C5orf56	C5orf56	52
AC116366.5	AC116366.5	0
AC116366.6	AC116366.6	1
IRF1	IRF1	70
IL5	IL5	0
RAD50	RAD50	26
AC004041.2	AC004041.2	0
IL13	IL13	0
IL4	IL4	0
AC004237.1	AC004237.1	0
KIF3A	KIF3A	7
CCNI2	CCNI2	1
SEPT8	SEPT8	0
SOWAHA	SOWAHA	0
AC004775.5	AC004775.5	0
SHROOM1	SHROOM1	1
